park,month,visitors,temp,
Rocky Mountain,January,98928,,
Rocky Mountain,February,85123,,
Rocky Mountain,March,134304,,
Rocky Mountain,April,116959,,
Rocky Mountain,May,259711,,
Rocky Mountain,June,608796,,
Rocky Mountain,July,858426,,
Rocky Mountain,August,765579,,
Rocky Mountain,September,644350,,
Rocky Mountain,October,371558,,
Rocky Mountain,November,118398,,
Rocky Mountain,December,93784,,
Yosemite,January,128318,39.4,
Yosemite,February,135316,41.05,
Yosemite,March,194667,40.9,
Yosemite,April,281328,45.1,
Yosemite,May,408121,47.3,
Yosemite,June,545231,72.6,
Yosemite,July,626009,73.7,
Yosemite,August,636936,75.05,
Yosemite,September,527402,69.55,
Yosemite,October,357223,58.25,
Yosemite,November,169425,29.25,
Yosemite,December,140241,34,
Yellowstone,January,28091,,
Yellowstone,February,34343,,
Yellowstone,March,22989,,
Yellowstone,April,46600,,
Yellowstone,May,386064,,
Yellowstone,June,780768,,
Yellowstone,July,980702,,
Yellowstone,August,854408,,
Yellowstone,September,680213,,
Yellowstone,October,252013,,
Yellowstone,November,11049,,
Yellowstone,December,20470,,
Grand Canyon,January,191781,,
Grand Canyon,February,224311,,
Grand Canyon,March,437563,,
Grand Canyon,April,486989,,
Grand Canyon,May,541338,,
Grand Canyon,June,614938,,
Grand Canyon,July,714911,,
Grand Canyon,August,793412,,
Grand Canyon,September,525090,,
Grand Canyon,October,444363,,
Grand Canyon,November,273558,,
Grand Canyon,December,272482,,
Great Smoky,January,373315,,
Great Smoky,February,244214,,
Great Smoky,March,598835,,
Great Smoky,April,794886,,
Great Smoky,May,1017955,,
Great Smoky,June,1307646,,
Great Smoky,July,1441603,,
Great Smoky,August,1208882,,
Great Smoky,September,1096723,,
Great Smoky,October,1353454,,
Great Smoky,November,707576,,
Great Smoky,December,567585,,
