Park,Year,Recreation_Visitors
Yellowstone,1904,13727
Yellowstone,1905,26188
Yellowstone,1906,17182
Yellowstone,1907,16414
Yellowstone,1908,19542
Yellowstone,1909,32545
Yellowstone,1910,19575
Yellowstone,1911,23054
Yellowstone,1912,22970
Yellowstone,1913,24929
Yellowstone,1914,20250
Yellowstone,1915,51895
Yellowstone,1916,35849
Yellowstone,1917,35400
Yellowstone,1918,21275
Yellowstone,1919,62261
Yellowstone,1920,79777
Yellowstone,1921,81651
Yellowstone,1922,98223
Yellowstone,1923,138352
Yellowstone,1924,144158
Yellowstone,1925,154282
Yellowstone,1926,187807
Yellowstone,1927,200825
Yellowstone,1928,230984
Yellowstone,1929,260697
Yellowstone,1930,227901
Yellowstone,1931,221248
Yellowstone,1932,157624
Yellowstone,1933,161938
Yellowstone,1934,260775
Yellowstone,1935,317998
Yellowstone,1936,432570
Yellowstone,1937,499242
Yellowstone,1938,466185
Yellowstone,1939,486936
Yellowstone,1940,526437
Yellowstone,1941,579696
Yellowstone,1942,185746
Yellowstone,1943,61696
Yellowstone,1944,86593
Yellowstone,1945,189264
Yellowstone,1946,807917
Yellowstone,1947,937776
Yellowstone,1948,1018279
Yellowstone,1949,1131159
Yellowstone,1950,1110524
Yellowstone,1951,1163894
Yellowstone,1952,1350295
Yellowstone,1953,1326858
Yellowstone,1954,1328900
Yellowstone,1955,1368500
Yellowstone,1956,1457800
Yellowstone,1957,1595900
Yellowstone,1958,1442400
Yellowstone,1959,1408700
Yellowstone,1960,1443300
Yellowstone,1961,1524100
Yellowstone,1962,1925200
Yellowstone,1963,1872500
Yellowstone,1964,1929300
Yellowstone,1965,2062500
Yellowstone,1966,2130300
Yellowstone,1967,2210000
Yellowstone,1968,2229700
Yellowstone,1969,2193700
Yellowstone,1970,2297300
Yellowstone,1971,2120500
Yellowstone,1972,2236888
Yellowstone,1973,2061700
Yellowstone,1974,1928900
Yellowstone,1975,2239500
Yellowstone,1976,2519200
Yellowstone,1977,2481900
Yellowstone,1978,2618380
Yellowstone,1979,1892908
Yellowstone,1980,2000269
Yellowstone,1981,2521831
Yellowstone,1982,2368897
Yellowstone,1983,2347242
Yellowstone,1984,2222027
Yellowstone,1985,2226159
Yellowstone,1986,2363756
